event/_date,event/_name,result/_winner,result/_type,result/__text,player/0/_color,player/0/_name,player/1/_color,player/1/_name,moves/_game,moves/_type,moves/__text
2004-05,yahoo japan,white,lost-on-time,00-64,black,suekuni makoto,white,seeley ben,othello-8x8,flat,f5d6c3d3c4f4c5b3d2c6b6b4b5e6c2a4a3e3a5d1c7f6f2f3d7d8g4g5g3h3c1f1f7h4e1b2c8b8e7f8h5h6g6g7g2a6e2b1
2004-05,yahoo japan,white,normal,20-44,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5d6c3d3c4b5e3c2c6e6c5b4c7b6f7d2a5a4a3b3a2a6a7f2d7f4g4f6e1c1g3f3e2h4h3g5h6h5g6g1f1d1g2f8b2b1g7d8g8e7e8a1c8a8b7b8h2h1h8h7
2004-05,yahoo japan,white,normal,26-38,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5f6e6f4g5g6h6c6g4d6f3e7c5h3g3f7d7h5h4h7e8c8d3d8b8c3c7c4b5b6e3f8g8b3a5a4b4d2f2h2e2d1f1c2a3b2e1c1a1b7g7g2a6a8a7h8h1g1b1a2
2004-05,yahoo japan,white,lost-on-time,00-64,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5f6e6f4e3c5g4d6e7f8b5f3g5d3c6g6f7e8c3h5h6h4h3g3c2d7c8c4b4d2d1c7d8b8h2a4a6b6f2a3b3a2e2b2a7g7b7c1
2004-05,yahoo japan,white,lost-on-time,00-64,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5d6c3g5c6c5c4b6g6d3e6f6c7e3e7f4f7f8h5b5e8d8d7b3g3f3g4b4c8b8f2h6h7g8e2d2d1f1c2e1g1c1b1h4h3g2a5a6h1h2a4h8g7b7
2004-05,yahoo japan,white,normal,18-46,black,seeley ben,white,murakami takeshi,othello-8x8,flat,f5f6e6f4e3c5c4d7c6d2e2c3d3d6b3f3g3c2d1f1g4g5c7f2d8b4a4b5a5a3h6a6e7b6c1e1g1f7g6g7e8g8b7a8a7b8c8f8h8h7a2a1g2b1b2h1h2h3h4h5
2004-05,yahoo japan,white,normal,31-33,black,seeley ben,white,murakami takeshi,othello-8x8,flat,f5f6e6f4g6d6e3f3g4d3g3e7f2h6d2e2c6c5e1g5c7d7h5b5c2f1c3b3b6c4b4a3a5a6a4d1c1b1b2a1a2c8h7h3h4h8h2h1g7f7e8d8b8b7g1g2g8f8a8a7
2004-05,yahoo japan,white,lost-on-time,00-64,black,seeley ben,white,murakami takeshi,othello-8x8,flat,f5f6e6f4g5e7d7d6f3g6g4f7f8h3g3h4c4c8d3c6c5d8h6c7b6h2e8g8h5h7e3f2f1a5a7e2d2c1d1b7b5a4a6b4a3g7c3c2
2004-05,yahoo japan,black,normal,42-22,black,seeley ben,white,murakami takeshi,othello-8x8,flat,f5f6e6f4g4e7f7g5e3d3h5h6h7g6f3d6e8f8g8e2c6h4h3c5b5g3c4a5d8b6d2b3e1c2c3c1d1f1d7c7b4a4h2c8b8g2h1b2f2b7a1a3a8a7a6g1b1a2g7h8
2004-05,yahoo japan,black,normal,42-21,black,seeley ben,white,murakami takeshi,othello-8x8,flat,f5f6e6f4g5e7e3g6f3d6c5c4c6d3f7h5c7e8d8d7f8b6b3c8b4g8g4b5h4h3g3h2h6h7c3f2d2e2e1f1c2a4a3a2a5a6a7a8b8b7d1g2h8g7h1c1g1b1b2
